Metabolite,logFC,AveExpr,t,P.Value,adj.P.Val,B,Contrast,TargetCluster
X2445_232.155_0.501_2..3.carboxypropanoylamino..3.methylpentanoic.acid.CollisionEnergy.102040,10.592972823543384,26.850544966578717,10.153433555190828,1.880927502639343e-19,6.36380471726311e-17,32.77076807273297,1_vs_rest,1
X6115_231.059_4.973_Z4639971294,9.622229247000247,25.857253122338776,10.123612550227246,2.2849388438134144e-19,7.247540395220674e-17,32.58875445615344,1_vs_rest,1
X8512_321.251_8.585_nan,9.773153079391575,25.45289105680411,9.934498520115376,7.820447329272523e-19,2.2049316775587808e-16,31.437467954306328,1_vs_rest,1
X6113_144.045_4.973_nan,9.137644257833607,25.05631922884942,9.894248793928131,1.0153313572569798e-18,2.7120034937258804e-16,31.193128745794105,1_vs_rest,1
X3373_222.062_0.793_nan,10.376776419379036,27.20650361382869,9.864950627541116,1.2275944273380997e-18,3.115020859370428e-16,31.01543113444562,1_vs_rest,1
X2030_318.202_0.422_nan,10.408642734644854,26.86610977124824,9.748773157923624,2.601970067263866e-18,6.002271859710964e-16,30.31215765659215,1_vs_rest,1
X7542_297.254_7.115_nan,9.311649052388741,25.157825376540405,9.755255025851808,2.4953377531021872e-18,6.002271859710964e-16,30.351336837558875,1_vs_rest,1
X9108_489.306_9.108_Spectral.Match.to.1.Hexadecanoyl.sn.glycerol.from.NIST14,8.276523658381098,24.92797547824463,9.640745751832794,5.2197551408350664e-18,1.1517503191190417e-15,29.660244961765017,1_vs_rest,1
X8516_299.269_8.585_nan,9.568308545700038,25.09166765851173,9.547412402573867,9.507244501426065e-18,2.0103860768640533e-15,29.09865286271674,1_vs_rest,1
X4616_130.065_1.836_nan,9.533229431836416,25.693944795994696,9.480058619779458,1.463822880665153e-17,2.9715604477502602e-15,28.694366637519757,1_vs_rest,1
X6601_324.301_6.039_nan,8.724036780026303,24.694153066773637,8.877335104190358,6.651191410568054e-16,1.2055284431654597e-13,25.117404929090625,1_vs_rest,1
X6433_258.243_5.678_nan,8.408122032301886,24.69888827929433,8.75710316229932,1.4088126021908472e-15,2.4654220538339824e-13,24.413595647178223,1_vs_rest,1
X1680_140.071_0.389_nan,8.73710637549603,25.54366971984393,8.744946191579778,1.5195601246725509e-15,2.5705892109043984e-13,24.342628307625244,1_vs_rest,1
X4608_190.108_1.805_.alpha..Aminoadipic.acid...40.0.eV,10.04142421814819,25.98580109764724,8.574921801927745,4.360144607542833e-15,7.137978672025767e-13,23.35401725233194,1_vs_rest,1
X944_355.153_0.325_3.hydroxypentanoyl.leucine..M.H..,7.556056194626503,32.200430671466265,9.298635561875722,4.6584815192823766e-17,1.182089685517903e-13,27.72008667815405,2_vs_rest,2
X1626_351.176_0.373_nan,8.508050581557313,30.125836925363743,8.429777540446938,1.0652842005230555e-14,1.8021057725515022e-11,22.598398031470772,2_vs_rest,2
X1027_182.048_0.328_GLUFOSINATE,7.729216531782889,30.71695640282949,8.209669377971398,4.079100532165778e-14,5.175358800185331e-11,21.332187660500296,2_vs_rest,2
X1021_224.058_0.328_N.Acetyl.DL.methionine.CollisionEnergy.205060,7.26833359192991,30.736805274374774,7.872055820731287,3.1033712390718104e-13,3.1499218076578877e-10,19.4185914568934,2_vs_rest,2
X3286_360.062_0.766_nan,8.959376693661442,28.589248986128176,7.689409632876554,9.151963401605389e-13,7.741035710524558e-10,18.398878937489677,2_vs_rest,2
